FD2, FIDUCIAL-MICRO,  9.50, 48.25, T,   0, FIDUCIALUFIDUCIAL
FD4, FIDUCIAL-MICRO,  1.00,  2.00, T,   0, FIDUCIALUFIDUCIAL
J2, USB-C-16P, 362.47, 29.00, T,  90, USB Female Type C Connector
J3, AUDIO_JACK_3.5MM_TRRS_SMD_RA, 359.25, 47.00, T, 180, AUDIO_JACK_TRRSSMD_RA
JP1, SMT-JUMPER_2_NO_NO-SILK, 13.25, 58.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP2, SMT-JUMPER_2_NO_NO-SILK, 28.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP3, SMT-JUMPER_2_NO_NO-SILK, 43.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP4, SMT-JUMPER_2_NO_NO-SILK, 58.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP5, SMT-JUMPER_2_NO_NO-SILK, 73.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP6, SMT-JUMPER_2_NO_NO-SILK, 88.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP7, SMT-JUMPER_2_NO_NO-SILK, 103.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP8, SMT-JUMPER_2_NO_NO-SILK, 118.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP9, SMT-JUMPER_2_NO_NO-SILK, 133.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP10, SMT-JUMPER_2_NO_NO-SILK, 148.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP11, SMT-JUMPER_2_NO_NO-SILK,  5.00, 200.00, T, 270, JUMPER-SMT_2_NO_NO-SILK
JP12, SMT-JUMPER_2_NO_NO-SILK,  5.00, 185.00, T, 270, JUMPER-SMT_2_NO_NO-SILK
JP13, SMT-JUMPER_2_NO_NO-SILK,  5.00, 170.00, T, 270, JUMPER-SMT_2_NO_NO-SILK
JP14, SMT-JUMPER_2_NO_NO-SILK, 208.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP15, SMT-JUMPER_2_NO_NO-SILK, 223.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP16, SMT-JUMPER_2_NO_NO-SILK, 238.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP17, SMT-JUMPER_2_NO_NO-SILK, 253.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP18, SMT-JUMPER_2_NO_NO-SILK, 268.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP19, SMT-JUMPER_2_NO_NO-SILK, 283.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP20, SMT-JUMPER_2_NO_NO-SILK, 298.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP21, SMT-JUMPER_2_NO_NO-SILK, 313.25, 208.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP22, SMT-JUMPER_2_NO_NO-SILK, 13.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP23, SMT-JUMPER_2_NO_NO-SILK, 28.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP24, SMT-JUMPER_2_NO_NO-SILK, 43.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP25, SMT-JUMPER_2_NO_NO-SILK, 58.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP26, SMT-JUMPER_2_NO_NO-SILK, 73.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP27, SMT-JUMPER_2_NO_NO-SILK, 88.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP28, SMT-JUMPER_2_NO_NO-SILK, 103.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP29, SMT-JUMPER_2_NO_NO-SILK, 118.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP30, SMT-JUMPER_2_NO_NO-SILK, 133.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP31, SMT-JUMPER_2_NO_NO-SILK, 148.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP32, SMT-JUMPER_2_NO_NO-SILK, 163.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP33, SMT-JUMPER_2_NO_NO-SILK, 178.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP34, SMT-JUMPER_2_NO_NO-SILK, 193.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP35, SMT-JUMPER_2_NO_NO-SILK, 208.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP36, SMT-JUMPER_2_NO_NO-SILK, 223.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP37, SMT-JUMPER_2_NO_NO-SILK, 238.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP38, SMT-JUMPER_2_NO_NO-SILK, 253.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP39, SMT-JUMPER_2_NO_NO-SILK, 268.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
